car_model,review_count,外观设计_performance,外观设计_importance,外观设计_mention_rate,内饰质感_performance,内饰质感_importance,内饰质感_mention_rate,智能配置_performance,智能配置_importance,智能配置_mention_rate,空间实用_performance,空间实用_importance,空间实用_mention_rate,舒适体验_performance,舒适体验_importance,舒适体验_mention_rate,操控性能_performance,操控性能_importance,操控性能_mention_rate,续航能耗_performance,续航能耗_importance,续航能耗_mention_rate,价值认知_performance,价值认知_importance,价值认知_mention_rate
1特斯拉Model S,89,0.11402982562285312,0.12394536827379321,0.7415730337078652,0.09918052037953291,0.1235126988476571,0.7528089887640449,0.10891864829621836,0.14390585113287277,0.6853932584269663,0.101807508606312,0.1363197138612862,0.5393258426966292,0.1012394425638935,0.08957699352438092,0.42696629213483145,0.11304682376424842,0.1508429842652552,0.9101123595505618,0.11331283774930724,0.14402122964650907,0.6853932584269663,0.098984983869088,0.08787516044824553,0.43820224719101125
20保时捷Taycan,107,0.11203403208392027,0.12394536827379321,0.9158878504672897,0.11382096943390656,0.1235126988476571,0.6822429906542056,0.10393114379584503,0.14390585113287277,0.8037383177570093,0.10039629921679334,0.1363197138612862,0.6448598130841121,0.0972760113491409,0.08957699352438092,0.5420560747663551,0.11039189130312156,0.1508429842652552,0.9719626168224299,0.11744515760863852,0.14402122964650907,0.7289719626168224,0.11668825885133138,0.08787516044824553,0.3925233644859813
21IQ锐歌,171,0.09059435252573217,0.12394536827379321,0.8304093567251462,0.09149746436771274,0.1235126988476571,0.6081871345029239,0.08830178159058816,0.14390585113287277,0.9415204678362573,0.10340274384267248,0.1363197138612862,0.5146198830409356,0.09703924048497496,0.08957699352438092,0.4853801169590643,0.09124157169596159,0.1508429842652552,0.7894736842105263,0.09477827346379354,0.14402122964650907,0.631578947368421,0.12204917083893504,0.08787516044824553,0.24561403508771928
22Model Y,1666,0.10525337081062569,0.12394536827379321,0.4561824729891957,0.10071108726582105,0.1235126988476571,0.5900360144057623,0.10531195683595591,0.14390585113287277,0.6680672268907563,0.1087592526914615,0.1363197138612862,0.7346938775510204,0.09408873444200597,0.08957699352438092,0.4261704681872749,0.10872100706570181,0.1508429842652552,0.7503001200480192,0.10986652144665214,0.14402122964650907,0.6884753901560624,0.11871627462342484,0.08787516044824553,0.3469387755102041
23smart精灵_1,132,0.1114412563751664,0.12394536827379321,0.7196969696969697,0.09613783847497613,0.1235126988476571,0.6363636363636364,0.09554026239624691,0.14390585113287277,0.75,0.11739442535787155,0.1363197138612862,0.7045454545454546,0.10437339248220905,0.08957699352438092,0.38636363636363635,0.11039686990820391,0.1508429842652552,0.7651515151515151,0.10518156528369418,0.14402122964650907,0.6060606060606061,0.12597565699636548,0.08787516044824553,0.38636363636363635
25宝马i3,264,0.10584294994162699,0.12394536827379321,0.49242424242424243,0.10581686027842677,0.1235126988476571,0.5189393939393939,0.09323272549180546,0.14390585113287277,0.7045454545454546,0.10747584524911548,0.1363197138612862,0.4734848484848485,0.09843130749412429,0.08957699352438092,0.4166666666666667,0.09950923670963972,0.1508429842652552,0.7689393939393939,0.10286392877955315,0.14402122964650907,0.6931818181818182,0.10763141984803275,0.08787516044824553,0.3977272727272727
26豹5,527,0.09615260439835116,0.12394536827379321,0.6223908918406073,0.09509652648218232,0.1235126988476571,0.5199240986717267,0.09980948573091461,0.14390585113287277,0.618595825426945,0.11324810012260211,0.1363197138612862,0.5806451612903226,0.09820055299054561,0.08957699352438092,0.4098671726755218,0.10306529622396084,0.1508429842652552,0.7533206831119544,0.11350476166861125,0.14402122964650907,0.5464895635673624,0.11273677342320614,0.08787516044824553,0.3719165085388994
27传祺E8 PHEV,117,0.10602822354703986,0.12394536827379321,0.38461538461538464,0.1062822881548559,0.1235126988476571,0.5726495726495726,0.10004680570550933,0.14390585113287277,0.7777777777777778,0.10543107062691968,0.1363197138612862,0.8034188034188035,0.0975200474472706,0.08957699352438092,0.5042735042735043,0.10771134001575933,0.1508429842652552,0.7264957264957265,0.1050868931169196,0.14402122964650907,0.6666666666666666,0.11903552521885427,0.08787516044824553,0.4188034188034188
28传祺向往S7,46,0.11744773997538756,0.12394536827379321,0.7608695652173914,0.10094720667040341,0.1235126988476571,0.7608695652173914,0.10863323898666391,0.14390585113287277,0.9130434782608695,0.1019738315928909,0.1363197138612862,0.8260869565217391,0.08163011512822575,0.08957699352438092,0.43478260869565216,0.11512292111795101,0.1508429842652552,0.8695652173913043,0.1345454295216099,0.14402122964650907,0.6521739130434783,0.12123836294330399,0.08787516044824553,0.6304347826086957
29大众ID.3,552,0.10595848408501367,0.12394536827379321,0.5996376811594203,0.10259854965538663,0.1235126988476571,0.6394927536231884,0.10353187390052478,0.14390585113287277,0.7844202898550725,0.11059298751474261,0.1363197138612862,0.6068840579710145,0.10521666131723413,0.08957699352438092,0.3333333333333333,0.10907002998043579,0.1508429842652552,0.8460144927536232,0.11175141447767253,0.14402122964650907,0.7409420289855072,0.11403830535516735,0.08787516044824553,0.4891304347826087
2特斯拉 Model 3,576,0.10535673287633351,0.12394536827379321,0.6319444444444444,0.10542190850767029,0.1235126988476571,0.6701388888888888,0.10796841694451835,0.14390585113287277,0.7552083333333334,0.11179437458956767,0.1363197138612862,0.6597222222222222,0.09805442978752003,0.08957699352438092,0.5225694444444444,0.1088346055904625,0.1508429842652552,0.9236111111111112,0.10689334300825225,0.14402122964650907,0.8246527777777778,0.11023790472511288,0.08787516044824553,0.4704861111111111
30海鸥,247,0.10925362859922294,0.12394536827379321,0.5141700404858299,0.10243978480329048,0.1235126988476571,0.4251012145748988,0.09899147907728409,0.14390585113287277,0.43724696356275305,0.10979966312298092,0.1363197138612862,0.6194331983805668,0.08673223161344791,0.08957699352438092,0.39271255060728744,0.11442775424888066,0.1508429842652552,0.5748987854251012,0.1059584968016384,0.14402122964650907,0.6963562753036437,0.10835362172868666,0.08787516044824553,0.4089068825910931
31岚图FREE,693,0.103849812246723,0.12394536827379321,0.7157287157287158,0.09699394582614243,0.1235126988476571,0.7431457431457431,0.10243912017853693,0.14390585113287277,0.8744588744588745,0.10771540278961599,0.1363197138612862,0.6984126984126984,0.10612066791501168,0.08957699352438092,0.5988455988455988,0.10799315854751047,0.1508429842652552,0.8917748917748918,0.10572113914361111,0.14402122964650907,0.7474747474747475,0.1078864001539417,0.08787516044824553,0.5036075036075036
